name,age,last_login,watch_time,preferred_category,payment_status,email,days_since_login,churned
김수민,35,2025-04-14,213,드라마,unpaid,ogsunjang@yuhanhoesa.kr,24,0
김재호,20,2025-04-27,124,예능,unpaid,hyeonui@gmail.com,11,0
김영자,63,2025-04-16,225,드라마,unpaid,yeongsugweon@daum.net,22,0
김준혁,63,2025-04-16,109,다큐멘터리,paid,seomijeong@live.com,22,0
이재현,56,2025-04-21,272,드라마,paid,yeweongim@hanmail.net,17,0
민지혜,59,2025-04-04,228,영화,unpaid,oi@gimi.net,34,1
심재호,30,2025-04-08,297,영화,paid,seonghyeoni@yu.org,30,1
류준서,40,2025-04-27,250,드라마,paid,minjae95@hanmail.net,11,0
이하은,58,2025-05-01,166,다큐멘터리,unpaid,yeonghwangim@naver.com,7,0
이은경,25,2025-04-19,257,예능,unpaid,hyejingim@dreamwiz.com,19,0
김민석,31,2025-04-06,87,영화,unpaid,ycoe@coebaggim.kr,32,1
김정희,49,2025-04-09,74,영화,paid,sangho62@dreamwiz.com,29,0
오정웅,61,2025-04-30,281,다큐멘터리,unpaid,munjaeho@jusighoesa.com,8,0
황옥자,27,2025-04-11,45,영화,paid,myeongsug15@gimgim.kr,27,0
김예지,23,2025-04-28,200,예능,paid,seojunbag@yu.kr,10,0
김영철,34,2025-04-19,72,예능,unpaid,junho57@gimgimi.kr,19,0
최경숙,31,2025-04-02,204,예능,unpaid,minjaegim@gimgim.net,36,1
박정웅,50,2025-04-30,114,다큐멘터리,paid,eunseosong@hanmail.net,8,0
윤성현,49,2025-04-08,16,드라마,unpaid,dmun@daum.net,30,1
서주원,63,2025-04-29,230,애니메이션,paid,seunghyeonbag@yuhanhoesa.kr,9,0
유시우,41,2025-04-22,228,영화,unpaid,yunminseo@ju.kr,16,0
문지후,37,2025-04-26,65,다큐멘터리,paid,ygim@naman.com,12,0
성현준,42,2025-04-17,268,다큐멘터리,unpaid,seungmingim@gmail.com,21,0
정지아,58,2025-04-04,103,영화,unpaid,coemyeongja@ju.com,34,1
김명자,59,2025-04-04,224,영화,paid,kgim@ju.kr,34,1
최숙자,24,2025-04-14,280,애니메이션,unpaid,yeongsugi@naver.com,24,0
장성민,26,2025-04-11,234,다큐멘터리,paid,gimsujin@daum.net,27,0
김상훈,56,2025-04-02,176,드라마,unpaid,yangjuweon@hotmail.com,36,1
정성민,30,2025-04-02,251,예능,unpaid,caeweon12@gimgim.kr,36,1
이상철,59,2025-04-27,292,애니메이션,unpaid,yeongjago@dreamwiz.com,11,0
백광수,51,2025-04-04,50,드라마,unpaid,donghyeon52@naver.com,34,1
박정식,26,2025-04-28,174,예능,unpaid,gimjiyeong@ju.kr,10,0
이경희,36,2025-04-29,216,다큐멘터리,paid,baeyeonggil@hanmail.net,9,0
이윤서,64,2025-04-26,41,다큐멘터리,unpaid,caeweongim@hotmail.com,12,0
송춘자,42,2025-04-16,242,다큐멘터리,unpaid,ogsuni@songmunsong.com,22,0
한성훈,30,2025-04-25,226,예능,paid,dgim@ian.com,13,0
장승민,53,2025-04-20,102,애니메이션,paid,juyejun@live.com,18,0
홍순옥,27,2025-04-26,105,예능,paid,yangyeongho@gimcoe.com,12,0
이은영,40,2025-04-25,258,예능,unpaid,mbae@gimi.kr,13,0
박정희,51,2025-04-26,124,다큐멘터리,unpaid,jinu59@janggim.com,12,0
장순옥,45,2025-04-15,145,다큐멘터리,unpaid,seunghyeonjang@live.com,23,0
배은정,62,2025-04-25,14,애니메이션,unpaid,acoe@naver.com,13,0
이영환,34,2025-04-18,54,다큐멘터리,unpaid,rbag@hanmail.net,20,0
안현주,29,2025-04-09,260,다큐멘터리,paid,iyeongmi@gimgwag.com,29,0
김서연,48,2025-04-07,9,영화,paid,gimgyeongja@yuhanhoesa.net,31,1
이민재,26,2025-04-07,125,드라마,unpaid,hwangyeongsu@gimgimhong.kr,31,1
박영진,39,2025-04-12,7,다큐멘터리,paid,ugang@live.com,26,0
최하윤,48,2025-04-29,83,예능,paid,pgim@naver.com,9,0
박은정,18,2025-04-14,274,애니메이션,paid,sgim@hanmail.net,24,0
이영철,30,2025-04-16,104,예능,unpaid,yeongsighan@ju.com,22,0
이서영,46,2025-04-27,87,영화,unpaid,lbae@gmail.com,11,0
권영미,46,2025-04-12,93,다큐멘터리,paid,jaeho66@yuhanhoesa.kr,26,0
이정남,32,2025-04-21,80,다큐멘터리,unpaid,jeongjaheo@gmail.com,17,0
최정숙,26,2025-04-27,186,드라마,paid,dgim@ju.com,11,0
이정훈,18,2025-04-16,20,애니메이션,paid,ogja64@daum.net,22,0
권광수,47,2025-04-06,176,예능,unpaid,sunjahwang@gmail.com,32,1
하서연,25,2025-04-06,195,드라마,paid,yeongilbag@jusighoesa.kr,32,1
신미영,38,2025-04-04,139,드라마,paid,sangho04@iogim.net,34,1
김정자,40,2025-04-10,193,영화,unpaid,anseoyeon@gmail.com,28,0
이성호,57,2025-04-26,20,다큐멘터리,unpaid,hongjeongsug@daum.net,12,0
이중수,25,2025-04-09,27,예능,paid,jinuseo@naver.com,29,0
허지영,20,2025-04-28,29,애니메이션,paid,lryu@naver.com,10,0
김진우,54,2025-04-15,8,다큐멘터리,paid,dgim@live.com,23,0
박성진,60,2025-04-26,212,영화,paid,jeonghungim@naver.com,12,0
한수민,43,2025-04-07,22,애니메이션,paid,byeongceolo@coegimbag.net,31,1
안동현,61,2025-04-04,164,다큐멘터리,unpaid,than@bagbag.kr,34,1
최순자,57,2025-04-02,41,예능,paid,jeongnam31@hanmail.net,36,1
서진호,57,2025-04-06,171,다큐멘터리,unpaid,yeongsubag@najeon.com,32,1
김건우,42,2025-04-08,63,영화,unpaid,donghyeon08@hangim.org,30,1
김경숙,32,2025-04-17,254,영화,paid,vbag@hotmail.com,21,0
김채원,22,2025-04-11,96,드라마,unpaid,iminjae@jusighoesa.com,27,0
권예준,27,2025-04-03,72,드라마,unpaid,cbag@gojin.com,35,1
김현주,53,2025-05-01,290,애니메이션,unpaid,sujini@jusighoesa.kr,7,0
최성민,36,2025-04-09,20,다큐멘터리,unpaid,yeweon71@yu.net,29,0
송서연,56,2025-04-29,229,애니메이션,paid,sunjabaeg@ju.org,9,0
권영호,38,2025-04-26,282,다큐멘터리,paid,sgim@naver.com,12,0
노예진,55,2025-04-18,177,애니메이션,paid,cgim@live.com,20,0
조경자,55,2025-04-24,20,예능,paid,eomyeongsug@coegweon.com,14,0
윤지훈,20,2025-04-02,142,예능,paid,fyun@yuhanhoesa.org,36,1
이영식,34,2025-04-02,290,드라마,unpaid,bagjeongsu@nate.com,36,1
황준호,61,2025-04-18,27,영화,unpaid,mi@gangbag.kr,20,0
김유진,34,2025-04-01,215,다큐멘터리,paid,fyang@daum.net,37,1
강주원,31,2025-04-12,99,드라마,unpaid,minji86@jusighoesa.com,26,0
김현숙,49,2025-04-28,64,영화,paid,jihu77@hanmail.net,10,0
김병철,43,2025-04-03,271,다큐멘터리,unpaid,ieunyeong@iani.com,35,1
이영환,19,2025-04-23,142,다큐멘터리,unpaid,hyeonubag@nate.com,15,0
정예원,64,2025-04-11,152,영화,unpaid,hyeonjugim@live.com,27,0
황광수,30,2025-04-16,247,영화,unpaid,qi@hotmail.com,22,0
김영일,56,2025-04-27,148,다큐멘터리,unpaid,yangjinho@dreamwiz.com,11,0
김준호,59,2025-04-07,249,예능,unpaid,baghyeonjeong@gangi.com,31,1
고지혜,55,2025-04-19,183,다큐멘터리,paid,sujin78@gmail.com,19,0
김정순,64,2025-04-13,78,드라마,paid,ogjai@daum.net,25,0
한미숙,26,2025-04-02,250,다큐멘터리,unpaid,jieun05@yu.kr,36,1
안보람,51,2025-04-22,92,애니메이션,unpaid,pgang@baeggimbag.com,16,0
장지후,65,2025-04-10,106,예능,paid,yeongsug21@dreamwiz.com,28,0
민수진,43,2025-04-30,32,다큐멘터리,unpaid,hyeonjun43@live.com,8,0
김영미,36,2025-04-28,183,영화,unpaid,hyejin40@live.com,10,0
최정수,45,2025-04-21,9,영화,unpaid,sjeon@yu.com,17,0
장정희,40,2025-04-21,186,애니메이션,unpaid,baesunja@angim.com,17,0
김수진,58,2025-04-18,8,애니메이션,paid,siuan@nate.com,20,0
백지은,29,2025-04-20,132,드라마,unpaid,sju@nate.com,18,0
박명자,54,2025-04-09,71,드라마,unpaid,zju@gimi.com,29,0
박정숙,60,2025-04-08,277,애니메이션,paid,xryu@daum.net,30,1
박은정,57,2025-04-28,203,애니메이션,unpaid,sunjayun@dreamwiz.com,10,0
이영순,19,2025-04-21,259,다큐멘터리,unpaid,hajaeho@gimgimbag.kr,17,0
장정호,41,2025-04-10,142,영화,paid,jiuyun@dreamwiz.com,28,0
심수빈,35,2025-04-10,75,영화,paid,jinhoha@nate.com,28,0
임영철,30,2025-04-26,180,드라마,unpaid,iseungmin@daum.net,12,0
류미경,35,2025-04-24,148,애니메이션,paid,gimjeongung@jusighoesa.org,14,0
최지원,48,2025-04-19,61,애니메이션,paid,eungyeong90@gogim.com,19,0
안미영,65,2025-04-20,201,영화,unpaid,gyeongsuan@yu.com,18,0
서영진,28,2025-04-25,178,드라마,unpaid,xbag@yuhanhoesa.org,13,0
윤수진,49,2025-04-28,119,드라마,unpaid,eomjeonghyi@imbagbaeg.com,10,0
이민서,54,2025-04-09,22,영화,paid,sujin98@icoe.com,29,0
조동현,24,2025-04-26,52,애니메이션,unpaid,jinuson@ibagi.com,12,0
이상훈,32,2025-04-07,59,예능,paid,fgim@yuhanhoesa.kr,31,1
성영호,21,2025-04-26,80,애니메이션,unpaid,qi@munoju.kr,12,0
김영일,48,2025-04-29,21,예능,unpaid,ggim@hongi.org,9,0
김시우,33,2025-04-07,86,다큐멘터리,paid,doyun44@igim.com,31,1
이민서,47,2025-04-03,151,다큐멘터리,paid,sinyeongsu@baggimi.com,35,1
최미경,36,2025-04-13,37,드라마,paid,seonghyeongang@yu.kr,25,0
권민석,23,2025-04-15,277,예능,paid,iyeongsun@dreamwiz.com,23,0
이서윤,25,2025-04-17,17,영화,paid,gimhayun@yu.com,21,0
신민준,27,2025-04-14,233,영화,unpaid,myeongjajeon@nate.com,24,0
문광수,41,2025-04-03,120,영화,unpaid,uheo@coeoi.com,35,1
주민준,54,2025-04-16,105,영화,unpaid,byeongceol13@live.com,22,0
박영숙,30,2025-04-11,108,영화,unpaid,yeongsu21@daum.net,27,0
김지영,55,2025-04-22,143,영화,unpaid,yeongilgim@hanmail.net,16,0
김정훈,58,2025-04-18,288,영화,unpaid,haeungang@gweongweonbag.kr,20,0
민순옥,60,2025-04-25,269,영화,unpaid,jinhobag@naver.com,13,0
최순자,59,2025-04-02,116,애니메이션,paid,hyeonjun00@ryugim.org,36,1
김은서,58,2025-04-24,187,영화,unpaid,ycoe@gmail.com,14,0
송재호,20,2025-04-28,183,애니메이션,unpaid,dbag@dreamwiz.com,10,0
배성현,36,2025-04-24,239,영화,unpaid,dohyeono@baggangi.com,14,0
황정수,54,2025-04-30,178,영화,paid,minsu18@ioyun.kr,8,0
이은경,34,2025-04-14,252,예능,paid,jeongnam62@yu.com,24,0
류지아,60,2025-04-06,49,예능,unpaid,bbag@iha.com,32,1
박서윤,28,2025-04-26,282,다큐멘터리,unpaid,minjunhong@ju.kr,12,0
김준영,62,2025-04-13,108,영화,paid,xgim@yuhanhoesa.org,25,0
박옥자,62,2025-04-17,47,애니메이션,unpaid,mbae@nate.com,21,0
최영희,59,2025-04-19,256,애니메이션,paid,abag@hotmail.com,19,0
송미정,52,2025-04-21,133,드라마,unpaid,yunjiyeon@daum.net,17,0
박미정,23,2025-04-19,93,드라마,paid,yejunbaeg@yuhanhoesa.com,19,0
손현숙,52,2025-04-27,126,예능,paid,ijunseo@live.com,11,0
이경자,21,2025-05-01,185,애니메이션,unpaid,eunyeong20@heobag.org,7,0
한영길,33,2025-04-15,75,영화,unpaid,gimyeongsu@yuhanhoesa.com,23,0
김상호,45,2025-04-08,62,예능,paid,gimjieun@gmail.com,30,1
최정희,57,2025-04-23,245,예능,paid,wgim@hanmail.net,15,0
김정숙,40,2025-04-04,77,예능,unpaid,gwagminseo@gmail.com,34,1
박재현,62,2025-04-23,243,애니메이션,paid,ogja51@nate.com,15,0
윤동현,22,2025-04-28,257,애니메이션,paid,donghyeonjeong@hotmail.com,10,0
임현지,40,2025-04-14,299,영화,paid,eunjigim@dreamwiz.com,24,0
김주원,59,2025-04-13,88,드라마,paid,caeweon86@gimgweongim.com,25,0
김은지,51,2025-04-23,261,드라마,unpaid,anjinu@live.com,15,0
손영숙,60,2025-04-19,86,다큐멘터리,unpaid,xhan@songseo.com,19,0
지병철,46,2025-04-11,119,애니메이션,unpaid,sanghyeon54@naver.com,27,0
오민준,63,2025-04-16,210,드라마,paid,hyeonu59@live.com,22,0
구진호,37,2025-04-17,27,다큐멘터리,unpaid,zi@ju.kr,21,0
이미정,52,2025-04-25,220,영화,unpaid,jongsu90@yuhanhoesa.com,13,0
김민수,30,2025-04-10,112,영화,paid,ri@hanmail.net,28,0
김서연,36,2025-04-10,199,애니메이션,paid,iyeongho@dreamwiz.com,28,0
강정수,33,2025-04-02,229,드라마,unpaid,sanghungo@dreamwiz.com,36,1
오현준,22,2025-04-15,277,다큐멘터리,paid,yeweon88@naver.com,23,0
고정희,53,2025-04-10,107,드라마,paid,migyeong13@jusighoesa.com,28,0
최영수,23,2025-04-02,205,예능,unpaid,gimjunho@baghwangryu.com,36,1
이도현,51,2025-04-13,207,영화,paid,seojun89@hotmail.com,25,0
김예진,21,2025-04-20,118,영화,paid,bagjaeho@yu.com,18,0
노지후,40,2025-04-29,295,애니메이션,paid,seunghyeon84@yu.com,9,0
김현정,40,2025-04-29,61,다큐멘터리,paid,areumo@hongcoe.org,9,0
김현정,33,2025-04-05,291,영화,paid,yunseoi@gmail.com,33,1
강성민,54,2025-04-20,42,드라마,unpaid,zgim@live.com,18,0
김도윤,32,2025-04-16,266,애니메이션,paid,nbag@nate.com,22,0
이정희,38,2025-04-01,270,예능,paid,xgim@daum.net,37,1
박상훈,33,2025-04-28,57,애니메이션,paid,sangceoli@munica.com,10,0
심정희,23,2025-04-30,138,드라마,unpaid,myeongjabag@yangbaggim.kr,8,0
주서영,26,2025-04-06,111,드라마,paid,gimmyeongsug@dreamwiz.com,32,1
김민석,29,2025-04-26,218,영화,unpaid,yejin65@yuhanhoesa.com,12,0
박정훈,61,2025-04-20,177,영화,unpaid,gimsangceol@nate.com,18,0
이현정,53,2025-04-02,13,다큐멘터리,paid,seonyeongi@ju.kr,36,1
조영일,46,2025-04-26,115,드라마,unpaid,seonghyeon94@nate.com,12,0
박예지,22,2025-04-21,90,다큐멘터리,unpaid,xsong@nate.com,17,0
구은경,51,2025-04-03,198,드라마,paid,pi@ju.com,35,1
오지영,35,2025-04-22,82,예능,unpaid,jeongsuggim@daum.net,16,0
박승현,18,2025-04-28,293,예능,paid,jungsuhwang@dreamwiz.com,10,0
서명자,29,2025-04-20,76,다큐멘터리,unpaid,borameom@bagigim.kr,18,0
이종수,34,2025-04-14,34,다큐멘터리,unpaid,pgim@naver.com,24,0
김현지,35,2025-04-13,128,드라마,unpaid,yeweon75@dreamwiz.com,25,0
심주원,37,2025-04-13,203,영화,unpaid,sanghun86@live.com,25,0
곽지원,65,2025-04-17,181,예능,paid,iyeeun@nate.com,21,0
윤지아,33,2025-04-15,216,영화,unpaid,jeongsuni@gimgang.kr,23,0
김지후,37,2025-04-02,124,영화,paid,minseogi@gimhwanggim.kr,36,1
김은지,41,2025-04-21,113,예능,paid,wyun@naver.com,17,0
